Date,Open,High,Low,Close,Adj Close,Volume
2008-05-22,2.030800,2.032800,1.996700,2.001400,2.001400,0
2008-05-23,2.000400,2.009300,1.994300,2.002100,2.002100,0
2008-05-26,2.011200,2.012800,1.998800,2.005000,2.005000,0
2008-05-27,2.004800,2.005800,1.984200,1.987600,1.987600,0
2008-05-28,1.987700,2.001900,1.986200,1.991900,1.991900,0
2008-05-29,1.991700,1.995300,1.984800,1.986800,1.986800,0
2008-05-30,1.986800,1.991200,1.978900,1.982900,1.982900,0
2008-06-02,1.986100,1.987300,1.974200,1.980000,1.980000,0
2008-06-03,1.980300,1.985400,1.970300,1.978900,1.978900,0
2008-06-04,1.978600,2.006300,1.970400,2.004600,2.004600,0
2008-06-05,2.004500,2.035600,2.002800,2.034300,2.034300,0
2008-06-06,2.034500,2.057200,2.028900,2.049900,2.049900,0
2008-06-09,2.054700,2.065700,2.051100,2.061900,2.061900,0
2008-06-10,2.062500,2.063700,2.050500,2.050900,2.050900,0
2008-06-11,2.050900,2.062000,2.043600,2.059400,2.059400,0
2008-06-12,2.058400,2.061700,2.045600,2.061000,2.061000,0
2008-06-13,2.060800,2.062600,2.045700,2.045700,2.045700,0
2008-06-16,2.049500,2.061800,2.046400,2.053400,2.053400,0
2008-06-17,2.053800,2.060800,2.047700,2.051300,2.051300,0
2008-06-18,2.052600,2.054600,2.043400,2.047000,2.047000,0
2008-06-19,2.046600,2.055100,2.030500,2.037200,2.037200,0
2008-06-20,2.038100,2.053000,2.034500,2.047800,2.047800,0
2008-06-23,2.049300,2.050400,2.039800,2.047200,2.047200,0
2008-06-24,2.046600,2.059000,2.046600,2.049300,2.049300,0
2008-06-25,2.050100,2.069200,2.048900,2.069000,2.069000,0
2008-06-26,2.068800,2.089100,2.066800,2.088300,2.088300,0
2008-06-27,2.088300,2.088900,2.065100,2.066000,2.066000,0
2008-06-30,2.072300,2.073800,2.060500,2.066500,2.066500,0
2008-07-01,null,null,null,null,null,null
2008-07-02,2.083700,2.090300,2.079900,2.088800,2.088800,0
2008-07-03,2.088700,2.094900,2.073200,2.075800,2.075800,0
2008-07-04,2.077000,2.079600,2.062800,2.066700,2.066700,0
2008-07-07,2.070100,2.088200,2.063400,2.085700,2.085700,0
2008-07-08,2.086800,2.093100,2.077000,2.082100,2.082100,0
2008-07-09,2.082700,2.084600,2.065400,2.078000,2.078000,0
2008-07-10,2.077500,2.083800,2.070100,2.079400,2.079400,0
2008-07-11,2.080100,2.094000,2.075800,2.085600,2.085600,0
2008-07-14,2.095300,2.096700,2.078400,2.082300,2.082300,0
2008-07-15,2.082200,2.083500,2.055000,2.060500,2.060500,0
2008-07-16,2.060100,2.065500,2.047500,2.051400,2.051400,0
2008-07-17,2.051200,2.081300,2.049900,2.075900,2.075900,0
